Project Name,Website,Twitter/X Account,Logo URL
Arc,https://arc.network,https://x.com/arc,https://i.ibb.co/2wMkfPT/arc-jpg.jpg
UnitFlow Finance,https://www.unitflow.finance/,@unitflowfinance,https://i.ibb.co/hRZpGGPZ/1001685288-jpg.jpg
Achswap,https://trade.achswap.app/,https://x.com/AchProtocol,https://i.ibb.co/cSbJTFt7/favico1n-png.png
Tower Exchange,https://www.tower.exchange/,https://x.com/TowerExchange,https://i.ibb.co/Fr2GnQ9/SAVE-20260401-090202-jpg.jpg
APEXISWAP,https://www.apexiswap.com/,https://x.com/APEXIS_DeFi,https://i.ibb.co/zV2VQJ3X/apexis-logo-png.png
Synthra,https://synthra.org,@synthra_finance,https://i.ibb.co/C5pXmFVJ/synthra-logo-3-png.png
SWAPARC,https://www.swaparc.app/,@swaparc_app,https://i.ibb.co/k2wWxn5L/1001363613-jpg.jpg
ArcPump,https://arcpump.org,@arcpump,https://cggobxoxfso69k4h.public.blob.vercel-storage.com/uploads/1781179325466-psfgh6s2.jpeg
Presto,https://prestodex-arc.vercel.app/,,https://i.ibb.co/cKbW1YVW/presto-icon-png.png
ARC Chat,https://arcchatgithubio.vercel.app/,,https://cggobxoxfso69k4h.public.blob.vercel-storage.com/uploads/1779995097602-71jvpwgr.svg
Arc2048blast,arc-2048-blast-chi.vercel.app,https://x.com/onchain2048,https://i.ibb.co/4wL0xSZ0/1001552367-jpg.jpg
XyloNet,https://xylonet.xyz/,https://x.com/Xylonet_,https://i.ibb.co/RpJwx2R2/630645-jpg.jpg
ExecDaat,https://execdaat.xyz/,@juleno14,https://i.ibb.co/QvRSZnKj/Captura-de-tela-2026-04-01-123029-png.png
Arcana Markets,https://www.arcanamarkets.xyz,@STEPHDREALS,https://i.ibb.co/S41hS0t5/Screenshot-2026-04-09-145606-png.png
WizPay,wizpay.xyz,@wizpay_arc,https://i.ibb.co/7tyxL0Ms/1000141774-jpg.jpg
Onmifun,https://app.onmi.fun/?chain=ARC_TESTNET,@onmidotfun,https://i.ibb.co/G4rWJMqw/RIr-Pz-Ipq-400x400-2-jpg.jpg
ArcPerps,https://arcperps.xyz,@arcperps,https://i.ibb.co/pjG4Sm23/arc-perp-logo-png.png
Lunex,https://lunex.finance,@lunexfinance,https://i.ibb.co/mCy38y5c/1001933064-jpg.jpg
ArcAgent,https://arcagent-mobile.vercel.app/,@Labiletosky66,https://i.ibb.co/HLzHmBfV/arcagent-logo-png.png
TrusttCircle,https://trusttcircle.online,,https://i.ibb.co/C5VZYPYf/image-2026-04-06-12-56-27-png.png
Arc chess,https://v0-arc-chess.vercel.app/,@arc_chess,https://i.ibb.co/7tNJsy82/Screenshot-2026-04-08-20-48-34-358-com-twitter-android-edit-jpg.jpg
