Project Name,Category,Project Link,Project Twitter,Creator Twitter,Notes
ArcPay,Payments,https://arcpay-gamma.vercel.app/,,https://x.com/pseudonymweb3,
Arc Dashboard,Dashboard,https://arc-dashbord.vercel.app/,,https://x.com/SergeyVL24,
Tower,Dex,https://www.tower.exchange/,https://x.com/TowerExchange,https://x.com/GbiayeB,
"Numaa's Portfolio
",Blockchain,https://numaaportfolio.vercel.app/,,https://x.com/ashmigg,
MICROAI,Blockchain,https://microai-tan.vercel.app/,,https://x.com/sahmedonchain,
arc-username,Payments,https://arc-username-hub.vercel.app/,,https://x.com/0xalphanur,
usdc-pay-request,Payments,https://usdc-pay-request.vercel.app/,,https://x.com/0xboiz,
ArcPay Lite,Payments,https://arcpay-litev2.vercel.app/,,https://x.com/khanindradeka20,
"Axpha ",Dex,https://points.axpha.io/,https://x.com/axpha_io,,
Arc Dev Faucet,faucet,https://arc-faucet.dev/,,https://x.com/ccshark64,
Arc Hub,Dashboard,https://arc-hub-beta.vercel.app/#/home,,https://x.com/MrlSharkx,
https://payonarc.xyz/,Payments,https://payonarc.xyz/,,https://x.com/0xbardia/status/2064404107256074531?s=46,
ARCFX,defi,https://arc-fx.vercel.app/,,https://x.com/slatro_eth,
Nexmer,Payments,https://arcpay-desk.vercel.app/,,https://x.com/phuocbinh97,
LocalPay,Payments,https://localpay-xyz.pages.dev/,,https://x.com/nguyen0xhieu,
ArcFun,Blockchain,https://arcfun.xyz/,,https://x.com/0x_zax,
https://ai-arcagents.vercel.app/,Payments,https://ai-arcagents.vercel.app/,,https://x.com/dhnhatdng,
Arc·Launch,,https://arclaunchpad.vercel.app/,,,
DARK ARC,Game,https://dark-arc.vercel.app/,https://x.com/darkarchub,https://x.com/jadsondrex,
https://arc-onetrade.vercel.app/,Blockchain,https://arc-onetrade.vercel.app/,,https://x.com/dexi269,
https://swiftpay2.vercel.app/,Payments,https://swiftpay2.vercel.app/,https://x.com/SwiftPay__,https://x.com/splendorcrypt,
https://arcindex.xyz/,Dashboard,https://arcindex.xyz/,,https://x.com/0xbrunoamuniz,
 ARC NEURAL AGENT,,https://agentt-iota.vercel.app/,,https://x.com/Bash06809279101,
Arc Ops Lab,security,arc.scanlyai.app,,https://x.com/BossKripto,
Arc Perps,Dex,https://arcperps.xyz/,https://x.com/arcperps,,
Onmifun,Blockchain,https://onmi.fun/,https://x.com/onmidotfun,,
Jungle Catch Arc,Game,https://arc-game-six.vercel.app/,,https://x.com/Bash06809279101,
Arc Snake,Game,https://arcsnake.xyz,,https://x.com/Wi113R,
ARCRADAR,Blockchain,https://www.arc-trade.xyz/,,https://x.com/arcbetting,
USDC Staking,defi,https://arcreserve-staking.vercel.app/,,https://x.com/Levani10635621,
ARC Stories,Game,https://arc-story-kappa.vercel.app/,,https://x.com/Bash06809279101,
https://asterpay.io/,Payments,https://asterpay.io/,https://x.com/Asterpayment,,
15market,Dex,https://www.15market.online/,https://x.com/15_markets,,
arcTX,Game,https://arctx.xyz/,,https://x.com/matheusdovalx,
Arcker Wallet Analytics,Dashboard,https://arcker-wallet-analytics.vercel.app/,,https://x.com/BrodaRev,
MCF PROTOCOL,Blockchain,https://mycryptofinance.github.io/MCF-TestNet/,,https://x.com/MyCryptoFinance,
Arc Hub,Blockchain,https://shumai1979.github.io/arc-dev-hub/,,https://x.com/Shumai1979,
ArcLend,defi,https://shumai1979.github.io/ArcLend/,,https://x.com/Shumai1979,
HoodSwap,Dex,https://shumai1979.github.io/hoodswap/,,https://x.com/Shumai1979,
ArcAgentPay,Payments,https://arcagentpay.vercel.app/,,https://x.com/0xgiwa,
ArcDex,Dex,https://www.arc-dex.xyz/,https://x.com/arcdexarc,https://x.com/tonyfer291,
Arcadeonarc,Game,https://www.arcadeonarc.fun/,https://x.com/ArcadeOnArc,,
26Arc Vault,defi,https://26-arc.vercel.app/,https://x.com/26ArcVault,https://x.com/BrodaRev,
PRYMYS,Game,https://prymus.xyz/,https://x.com/prymusxyz,,
SWAPARC,Payments,https://www.swaparc.app/,https://x.com/swaparc_app,https://x.com/0xVincentee,
Wharc a Mole,Game,https://www.wharc-a-mole.xyz/,https://x.com/wharcamole,,
Recurve,Payments,https://arcrecurve.vercel.app/,https://x.com/recurve_io,,
crowdmint,Dashboard,https://www.crowdmint.live/,https://x.com/CrowdMintLive,,
NFT Arc Generator,Blockchain,https://nftarcgenerator.netlify.app/,,https://x.com/julio381121,
ArcContractWiz,Blockchain,https://arccontractwiz.xyz/,https://x.com/scontractWiz,https://x.com/6ktvP,
Arc DeFi,defi,https://arc-testnet-sdsz.vercel.app/,,https://x.com/lucas9879171721,
ArcPay,Payments,https://arcpaybeta.vercel.app/,https://x.com/arcpaysystems,,
PayZed,Payments,https://www.payzed.xyz/,,,
Arc DeFi Suite,defi,https://arc-defi-experiments.vercel.app/,,https://x.com/Johnx235,
ARC Institutional Confidence Dashboard,Dashboard,https://arc-confidence-dashboard-v2.vercel.app/,,,
"Aeon
DEX",Dex,https://aeondex.netlify.app/,,,
"Aeon
Vaults",defi,https://aeonvaults.netlify.app/,,,
AeonCoop,defi,https://aeoncoop.netlify.app/,,,
ArcDex,Dex,https://arc-dex-rho.vercel.app/,,https://x.com/Xth1ag0,
forsightt,Game,https://www.forsightt.xyz/,,,
KatrinaDEX,Dex,https://www.katrinadex.xyz/,,https://x.com/moon_fun1,
Arc-Pay,Payments,https://www.arc-pay.xyz/,,,
Synthra,defi,https://app.synthra.org/,https://x.com/synthra_finance,,
Aarce,defi,https://www.aarce.xyz/,,,
Easy Faucet Arc,faucet,https://easyfaucetarc.xyz/,,https://x.com/0xbrunoamuniz,
